Jop title,Company name,Location,Posted,Skills,links
Market Research Analyst,Maison de Maa -,"Heliopolis, Cairo, Egypt",13 days ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Marketing/PR/Advertising / Analysis / E-Marketing / Market Research / Project Management / Research,https://wuzzuf.net/jobs/p/X0zWCU31Rarm-Market-Research-Analyst-Maison-de-Maa-Cairo-Egypt
Data Analyst,Helal Group -,"New Cairo, Cairo, Egypt",2 months ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Analyst/Research / Data / Data Analyst / Data Analysis / Analysis / analytical / Analyst,https://wuzzuf.net/jobs/p/X7y9gVNXPRbp-Data-Analyst-Helal-Group-Cairo-Egypt
Risk & Compliance Analyst,InstaShop -,"Katameya, Cairo, Egypt",1 month ago,Full TimeHybridExperienced / 3 - 5 Yrs of Exp / Legal / Quality / Analyst/Research / Business Administration / Fraud / Compliance / Risk / Risk Management / Risk Assessment / Fraud Investigation,https://wuzzuf.net/jobs/p/Q7xBPwqguZAd-Risk-Compliance-Analyst-InstaShop-Cairo-Egypt
WFM - MIS Analyst (Contact Center Field),Giza Systems -,"New Cairo, Cairo, Egypt",1 day ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Customer Service/Support / Analyst/Research / Analyst / MIS / Contact Center Management / Microsoft Excel / Reporting Analysis,https://wuzzuf.net/jobs/p/NkONHjA3XLDC-WFM---MIS-Analyst-Contact-Center-Field-Giza-Systems-Cairo-Egypt
Quality Assurance Analyst - English Speaker,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",6 days ago,Full TimeRemoteExperienced / 1 - 5 Yrs of Exp / Quality / Analyst/Research / QA / English / Quality Assurance / Customer Service / Customer Care / Customer Support,https://wuzzuf.net/jobs/p/LVXyhEGKuNN5-Quality-Assurance-Analyst---English-Speaker-Teleperformance---Egypt-Cairo-Egypt
IT Analyst,Dora Management Solutions -,"Sheraton, Cairo, Egypt",6 days ago,Full TimeOn-siteExperienced / 3 - 6 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / IT / Information Technology (IT) / Computer Science / ERP / Analyst,https://wuzzuf.net/jobs/p/PFpmqrP59veV-IT-Analyst-Dora-Management-Solutions-Cairo-Egypt
QA Analyst - Spanish Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",6 days ago,Full TimeRemoteExperienced / 1 - 4 Yrs of Exp / Quality / Analyst/Research / QA / Quality Assurance / spanish,https://wuzzuf.net/jobs/p/YonqR3gMqQYV-QA-Analyst---Spanish-Speakers-Teleperformance---Egypt-Cairo-Egypt
QA Analyst - Italian Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",8 days ago,Full TimeRemoteExperienced / 1 - 4 Yrs of Exp / Quality / Analyst/Research / QA / Quality Assurance / Italian,https://wuzzuf.net/jobs/p/iqttoXfOXH3B-QA-Analyst---Italian-Speakers-Teleperformance---Egypt-Cairo-Egypt
QA Analyst - German Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",14 days ago,Full TimeRemoteExperienced / 1 - 4 Yrs of Exp / Quality / Analyst/Research / QA / Quality Assurance / German,https://wuzzuf.net/jobs/p/R43veuCnVisR-QA-Analyst---German-Speakers-Teleperformance---Egypt-Cairo-Egypt
Data Analyst,Cairo Three A Poultry -,"New Cairo, Cairo, Egypt",14 days ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Analyst/Research / Power BI / Tableau / Data Analysis / SQL,https://wuzzuf.net/jobs/p/V3YFmjC8ooSj-Data-Analyst-Cairo-Three-A-Poultry-Cairo-Egypt
